Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-08-28,3781.79,3826.67,3777.9,3819.92,61182.4625,232868452.622,3806.1307621
2016-08-27,3859.5,3864.74,3755.92,3781.68,73959.1393,281771470.126,3809.82624721
2016-08-26,3842.67,3868.77,3832.94,3859.84,61451.7048,236806371.749,3853.53624476
2016-08-25,3855.1,3860.48,3810.03,3842.67,72076.7392,276300439.875,3833.42036476
2016-08-24,3866.67,3882.19,3831.7,3854.31,63827.5917,246409611.742,3860.55004081
2016-08-23,3911.02,3931.6,3840.25,3866.82,75177.5592,292049028.06,3884.78997148
2016-08-22,3875.47,3925.98,3871.0,3911.49,47221.9111,183736583.134,3890.91798391
2016-08-21,3879.5,3904.0,3859.84,3875.41,38408.578,149018771.964,3879.83048901
2016-08-20,3829.8,3900.0,3818.12,3879.55,60434.0264,233660955.373,3866.38073437
2016-08-19,3812.35,3838.0,3810.16,3830.0,48914.2292,186910761.407,3821.19404648
2016-08-18,3810.08,3845.0,3798.25,3811.61,59006.3388,225197214.752,3816.49191141
2016-08-17,3835.45,3847.0,3779.02,3809.82,59714.3094,228079104.822,3819.50502508
2016-08-16,3786.06,3871.74,3760.72,3836.76,70925.7393,270019140.744,3807.06839871
2016-08-15,3814.29,3830.61,3722.01,3786.3,69038.7619,261625774.06,3789.5490426
2016-08-14,3903.25,3905.61,3757.07,3813.59,105291.568,404375396.617,3840.52972425
2016-08-13,3907.16,3926.68,3875.0,3903.25,69171.408,270018236.895,3903.61053363
2016-08-12,3905.74,3932.1,3854.12,3908.09,96239.596,375427149.954,3900.96348653
2016-08-11,3963.5,3975.0,3895.45,3905.73,79282.8086,313292729.948,3951.584656
2016-08-10,3889.01,3993.73,3867.0,3963.49,94875.8215,373674409.91,3938.56310282
2016-08-09,3912.39,3925.0,3844.16,3889.01,98547.9961,383425297.483,3890.74676967
2016-08-08,3907.87,3934.99,3879.0,3912.38,85711.896,334612519.125,3903.92156446
2016-08-07,3871.56,3950.0,3837.0,3907.87,129544.1597,504745355.114,3896.31887908
2016-08-06,3765.19,3895.2,3715.66,3871.59,93269.3565,354782966.917,3803.85348662
2016-08-05,3774.22,3788.97,3745.58,3765.13,86766.6178,326666091.925,3764.8821656
2016-08-04,3706.54,3809.51,3700.0,3774.2,181815.5194,682667995.716,3754.72895806
